"id","code","name","account_type","reconcile","note","name@sv_SE","tax_ids"
"a133","133","Obligationer, förlagsbevis m.m.","liability_non_current",False,"På detta konto redovisas obligationer, förlagsbevis med mera som förvärvats för långfristig placering. Observera att Certifikat redovisas på konto 134. Obligationer, förlagsbevis med mera, som förvärvats för kortsiktig placering redovisas på konto 183. Obligationer, förlagsbevis m.m. efterfrågas av SCB i RS tillsammans med konto 134 Certifikat. Obligationer, förlagsbevis med mera uppdelat på motpart efterfrågas i kreditmarknadsstatistiken till SCB.","Obligationer, förlagsbevis m.m.",""
"a1339","1339","Värdereglering obligationer, förlagsbevis m.m.","liability_non_current",False,"Motkonto • 8439 Återföring av värdereglering, finansiella anläggningstillgångar • 8519 Värdereglering, finansiella anläggningstillgångar","Värdereglering obligationer, förlagsbevis m.m.",""
"a134","134","Certifikat","liability_non_current",False,"På detta konto redovisas certifikat som förvärvats för långfristig placering. Obligationer, förlagsbevis med mera redovisas på konto 133. Certifikat, som förvärvats för kortsiktig placering, redovisas på konto 184. Certifikat efterfrågas av SCB i RS tillsammans med konto 133 Obligationer, förlagsbevis m.m. Certifikat uppdelat på motpart efterfrågas i kreditmarknadsstatistiken till SCB.","Certifikat",""
"a1349","1349","Värdereglering certifikat","liability_non_current",False,"Motkonton • 8439 Återföring av värdereglering, finansiella anläggningstillgångar • 8519 Värdereglering, finansiella anläggningstillgångar","Värdereglering certifikat",""
"a135","135","Långfristiga fordringar","liability_non_current",False,"Kontot används för redovisning av utlämnade lån eller andra fordringar med längre amorteringstid än ett år. Fordringar hos kommunens koncernföretag ska kunna särskiljas; antingen genom separat konto eller genom underindelning av detta konto. Långfristiga fordringar, dels totalt, dels hos kommunens koncernföretag, efterfrågas av SCB i RS. Bokför inte på kontot • Den del som ska amorteras under nästa räkenskapsår omföres i samband med bokslutet till konto 164 Kortfristig del av långfristiga fordringar.","Långfristiga fordringar",""
"a1351","1351","Långfristiga fordringar hos kommunens koncernföretag","liability_non_current",False,"Långfristiga fordringar hos kommunens koncernföretag efterfrågas av SCB i RS.","Långfristiga fordringar hos kommunens koncernföretag",""
"a1355","1355","Värde av kapitalförsäkring","liability_non_current",False,"Kontot debiteras för värdet av kapitalförsäkring när kommunen är ägare, t.ex. vid tecknande av kapitalförsäkring till förmån för anställda och förtroendevalda. Se vidare RKR:s information, mars 2020: ”Redovisning av kapitalförsäkringar i samband med direktpension till förmån för anställda och förtroendevalda”.","Värde av kapitalförsäkring",""
"a1359","1359","Värdereglering långfristiga fordringar","liability_non_current",False,"På kontot redovisas nedskrivningar av långfristiga fordringar som vid räkenskapsårets slut har ett lägre värde än anskaffningsvärdet. Även återföring av sådana nedskrivningar redovisas på kontot. Motkonton • 8439 Återföring av värdereglering, finansiella anläggningstillgångar • 8519 Värdereglering, finansiella anläggningstillgångar","Värdereglering långfristiga fordringar",""
"a137","137","Bostadsrätter","liability_non_current",False,"På kontot redovisas bostadsrätter för stadigvarande innehav. Bostadsrätter efterfrågas av SCB i RS tillsammans med konto 132 Aktier och andelar.","Bostadsrätter",""
"a1379","1379","Värdereglering bostadsrätter","liability_non_current",False,"Motkonton • 8439 Återföring av värdereglering, finansiella anläggningstillgångar • 8519 Värdereglering, finansiella anläggningstillgångar","Värdereglering bostadsrätter",""
"a138","138","Grundfondskapital","liability_non_current",False,"På detta konto redovisas det kapital som stiftaren (kommunen) tillskjutit, så kallat grundfondskapital. Beakta dock att stiftelser är fristående juridiska personer som inte kan ägas och att grundfondskapital endast i undantagsfall bör redovisas som tillgång i kommunen. Grundfondskapital efterfrågas av SCB i RS.","Grundfondskapital",""
"a1389","1389","Värdereglering grundfondskapital","liability_non_current",False,"Motkonton • 8439 Återföring av värdereglering, finansiella anläggningstillgångar • 8519 Värdereglering, finansiella anläggningstillgångar","Värdereglering grundfondskapital",""
"a139","139","Bidrag till infrastruktur","liability_non_current",False,"Kontot används för aktivering av bidrag till infrastruktur med stöd av 2 kap 1 § lagen om vissa kommunala befogenheter och sådana bidrag till inrättande av forskningsinfrastruktur som avses i 2 § andra stycket lagen (2009:47) om vissa kommunala befogenheter. Se även RKR Information ""Redovisning av medfinansiering av infrastruktur"" då avtalet innehåller klausul om indexreglering av det avtalade bidragsbeloppet. Bidrag till infrastruktur efterfrågas av SCB i RS. Motkonto • Ofta bör det bli aktuellt att använda konto 228 Andra avsättningar, som motkonto till denna aktivering.","Bidrag till infrastruktur",""
"a1399","1399","Ackumulerad upplösning, bidrag till infrastruktur","liability_non_current",False,"Bidrag till infrastruktur ska upplösas med årliga enhetliga belopp under högst 25 år. När bidraget är upplöst (kostnadsfört) i sin helhet ska det utrangeras från konto 139 och underkonto 1399. Motkonto • Upplösningen påbörjas det år bidraget beslutas och redovisas i resultaträkningen på underkonto 4542 Upplösning av aktiverat bidrag till infrastruktur.","Ackumulerad upplösning, bidrag till infrastruktur",""
"a141","141","Förråd och lager","liability_non_current",False,"Kontot används för inköp till och uttag ur förråd/lager. I bokslutet ska förråden inventeras och tas upp till det lägsta av verkligt värde eller anskaffningsvärde. Motkonto • Eventuella pris- eller kvantitetsdifferenser regleras på kontot med motkonto 4191, Värdeförändring av varor i förråd och lager.","Förråd och lager",""
"a147","147","Exploateringsfastigheter","liability_non_current",False,"Exploateringsfastighet som ska avyttras redovisas som en omsättningstillgång. Fastigheter som inte ska avyttras redovisas fram till färdigställandet som anläggningstillgång, konto 117 Pågående ny-, till- och ombyggnad, och därefter på aktuell fastighetstyp. Se även idéskrift från RKR, Redovisning av kommunal markexploatering. Motkonton • Utgifter i samband med inköp av exploateringsfastigheter bokförs på konto 4031 Inköp av mark, för att sedan aktiveras på konto 147. • Vid försäljning sker redovisning via konto 372 Försäljning av exploateringsfastigheter, samt konto 418 Anskaffningskostnad, försåld exploateringsfastighet, se konteringsanvisning till respektive konto. • Eventuell värdeförändring regleras på kontot med motkonto 4192 Värdeförändring omsättningstillgångar.","Exploateringsfastigheter",""
"a149","149","Tomträttsmark m.m.","liability_non_current",False,"På detta konto redovisas till exempel tomträttsmark avsedd att avyttras. Vid försäljning sker redovisning via konto 379 se konteringsanvisning till detta konto. Motkonto • Eventuell värdeförändring regleras på kontot med motkonto 4192, Värdeförändring omsättningstillgångar. Bokför inte på kontot • Tomträttsmark som inte ska avyttras redovisas som anläggningstillgång på konto 115 Övriga fastigheter.","Tomträttsmark m.m.",""
"a151","151","Kundfordringar","liability_non_current",False,"Kontot debiteras för utgående fakturor och krediteras för inbetalningar från kunder och kreditfakturor. Kundfordringar hos kommunens koncernföretag ska kunna särskiljas antingen genom att en annan koddel (motpart) utnyttjas, genom underindelning av kontot eller som särskilt konto. SCB efterfrågar i RS kundfordringar hos kommunens koncernföretag.","Kundfordringar",""
"a159","159","Värdereglering kundfordringar","liability_non_current",False,"På detta konto krediteras belopp som motsvarar nedskrivning på sådana kundfordringar som inte anses helt säkra och därför kräver speciell bevakning. Konto 159 är korrektivkonto till konto 151–158. Summan av konto 151–158 och konto 159 visar det bokförda värdet av kundfordringar. När förluster på kundfordringar slutligen konstaterats förs kvarvarande belopp på konto 151–158 och 159 bort. Motkonton • Vid nedskrivning debiteras konto 735 Kundförluster, som motkonto. • Om kommunen erhåller intäkter på tidigare avskrivna kundfordringar bokförs intäkten på konto 365 Återvunna, tidigare avskrivna kundfordringar förutsatt att det rör sig om ett nytt räkenskapsår. Återvunna kundfordringar där betalning erhålls samma räkenskapsår som kundförlusten redovisats, bokförs på ursprungligt intäktskonto. Se anvisningarna till konto 365.","Värdereglering kundfordringar",""
"a161","161","Fordringar hos anställda","liability_non_current",False,"På detta konto redovisas fordringar hos anställda, såsom reseförskott, lån till anställda, personliga förskott och övriga förskott till anställda samt anställdas löneskulder.","Fordringar hos anställda",""
"a163","163","Fordringar hos leverantörer","liability_non_current",False,"På detta konto redovisas fordringar hos leverantörer och andra intressenter, dels förskott och dels fordringar på grund av avtalsförhållanden.","Fordringar hos leverantörer",""
"a164","164","Kortfristig del av långfristiga fordringar","liability_non_current",False,"På detta konto redovisas kortfristig del av långfristiga fordringar som förfaller till betalning inom ett år.","Kortfristig del av långfristiga fordringar",""
"a165","165","Fordringar för statliga bidrag och kostnadsersättningar","liability_non_current",False,"Detta konto används för redovisning av fordringar hos staten avseende statsbidragsfordringar och kommunal fastighetsavgift. Här redovisas t.ex. fordran avseende särskild momsersättning inom kommunmomsen (6 % och 5 % respektive 18 %) vid köp av ej skattepliktig verksamhet. Även eventuell fordran som uppstår vid för hög debitering av preliminär särskild löneskatt och fastighetsavgift redovisas här liksom statsbidrag som avser flera år. Fordringar för statliga bidrag och kostnadsersättningar efterfrågas av SCB i RS. Motkonton • Motkontering för särskild momsersättning inom kommunmomsen sker på konto 356 Särskild momsersättning vid köp av ej skattepliktig verksamhet • Fordran som uppkommer vid periodisering av kommunal fastighetsavgift redovisas här och motbokas på konto 828 Kommunal fastighetsavgift. Bokför inte på kontot • Kommunalskattefordran redovisas på konto 178 Upplupna skatteintäkter. • Skuld vid periodisering av kommunal fastighetsavgift redovisas på konto 281 Skulder för statsbi","Fordringar för statliga bidrag och kostnadsersättningar",""
"a1651","1651","Avräkning för skatter och avgifter (skattekonto)","liability_non_current",False,"Kontot debiteras vid betalning till skattekontot och krediteras vid återbetalning från skattekontot och stäms av mot kontoutdrag från Skatteverket. Kontot debiteras även vid inbetalning av preliminärskatt enligt F-skattsedel. Kontot krediteras olika former av anställningsstöd som tillförs kommunen via skattekontot. Motkonton • Kontot debiteras/krediteras månadsvis vid upprättande av skattedeklaration med något eller några av kontona 168 Fordran mervärdesskatt, redovisningskonto, 268 Moms, redovisningskonto, 271 Personalens källskatt eller 272, Upplupna sociala avgifter och särskild löneskatt som motkonto. • Kostnadsränta, som beräknas på underskott som uppkommer på skattekontot, debiteras konto 852 Räntekostnader. Intäktsränta, som beräknas på överskott som uppkommer på skattekontot krediteras konto 844 Ränteintäkter. • Om saldot på kontot är negativt på balansdagen flyttas saldot till un-derkonto 2811 Avräkning för skatter och avgifter (Skattekonto). • Redovisning av momsersättningen ","Avräkning för skatter och avgifter (skattekonto)",""
"a1652","1652","Upplupna generella statsbidrag","liability_non_current",False,"Kontot används vid redovisning av fordran på staten avseende generella statsbidrag. Motkonton • Konto 829 Generella bidrag från staten","Upplupna generella statsbidrag",""
"a1653","1653","Upplupna riktade statsbidrag och kostnadsersättningar","liability_non_current",False,"Kontot används vid redovisning av fordran på staten avseende riktade statsbidrag och kostnadsersättningar. Motkonton • Konto 351 Kostnadsersättningar och riktade bidrag, ej investeringsbidrag • Konto 354 Ersättningar från Försäkringskassan för personliga assistenter Bokför inte på kontot • Upplupna intäkter avseende offentliga bidrag (investeringar) redovisas på konto 165 Fordringar för statliga bidrag och kostnadsersättningar.","Upplupna riktade statsbidrag och kostnadsersättningar",""
