id,name,description,invoice_label,amount,type_tax_use,tax_group_id/id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
3feu,3FEU,Mellanmans försäljning av varor vid trepartshandel,,0,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
fteu,FTEU,Försäjning av tjänster när köparen är skatteskyldig i EG,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
ottu,OTTU,Övrig försäljning av tjänster omsatta i utlandet,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
omss,OMSS,Försäljning när köparen är skatteskyldig i Sverige,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
mf,MF,Momsfri försäljning,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"3004 Försäljning inom Sverige, momsfri",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"3004 Försäljning inom Sverige, momsfri",100
it,IT,"Inköp av tjänst, 25%",,25,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
ii,Ii,Inköp 25% (ink),,25,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
i12,I12,Inköp 12%,,12,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
