id,code,name,account_type,reconcile,name@sv_SE
a2067,2067,Balanserad vinst eller förlust/balanserat kapital,equity,False,Balanserad vinst eller förlust/balanserat kapital
a2068,2068,Vinst eller förlust från föregående år,equity,False,Vinst eller förlust från föregående år
a2069,2069,Årets resultat,equity,False,Årets resultat
a2070,2070,Ändamålsbestämda medel,equity,False,Ändamålsbestämda medel
a2071,2071,Ändamål 1,equity,False,Ändamål 1
a2072,2072,Ändamål 2,equity,False,Ändamål 2
a2080,2080,Bundet eget kapital,equity,False,Bundet eget kapital
a2081,2081,Aktiekapital,equity,False,Aktiekapital
a2082,2082,Ej registrerat aktiekapital,equity,False,Ej registrerat aktiekapital
a2083,2083,Medlemsinsatser,equity,False,Medlemsinsatser
a2084,2084,Förlagsinsatser,equity,False,Förlagsinsatser
a2085,2085,Uppskrivningsfond,equity,False,Uppskrivningsfond
a2086,2086,Reservfond,equity,False,Reservfond
a2087,2087,Bunden överkursfond (aktiebolag),equity,False,Bunden överkursfond (aktiebolag)
a2087,2087,Insatsemission (ekonomiska föreningar),equity,False,Insatsemission (ekonomiska föreningar)
a2088,2088,Fond för yttre underhåll,equity,False,Fond för yttre underhåll
a2089,2089,Fond för utvecklingsutgifter,equity,False,Fond för utvecklingsutgifter
a2090,2090,Fritt eget kapital,equity,False,Fritt eget kapital
a2091,2091,Balanserad vinst eller förlust,equity,False,Balanserad vinst eller förlust
a2092,2092,Mottagna/lämnade koncernbidrag,equity,False,Mottagna/lämnade koncernbidrag
a2093,2093,Erhållna aktieägartillskott,equity,False,Erhållna aktieägartillskott
a2094,2094,Egna aktier,equity,False,Egna aktier
a2095,2095,Fusionsresultat,equity,False,Fusionsresultat
a2096,2096,Fond för verkligt värde,equity,False,Fond för verkligt värde
a2097,2097,Fri överkursfond,equity,False,Fri överkursfond
a2098,2098,Vinst eller förlust från föregående år,equity,False,Vinst eller förlust från föregående år
a2099,2099,Årets resultat,equity,False,Årets resultat
a2110,2110,Periodiseringsfonder,equity,False,Periodiseringsfonder
a2120,2120,Periodiseringsfonder,equity,False,Periodiseringsfonder
a2120,2120,Periodiseringsfond 2020,equity,False,Periodiseringsfond 2020
a2121,2121,Periodiseringsfond 2021,equity,False,Periodiseringsfond 2021
a2122,2122,Periodiseringsfond 2022,equity,False,Periodiseringsfond 2022
a2123,2123,Periodiseringsfond 2023,equity,False,Periodiseringsfond 2023
a2125,2125,Periodiseringsfond 2015,equity,False,Periodiseringsfond 2015
a2126,2126,Periodiseringsfond 2016,equity,False,Periodiseringsfond 2016
a2127,2127,Periodiseringsfond 2017,equity,False,Periodiseringsfond 2017
a2128,2128,Periodiseringsfond 2018,equity,False,Periodiseringsfond 2018
a2129,2129,Periodiseringsfond 2019,equity,False,Periodiseringsfond 2019
a2130,2130,Periodiseringsfonder,equity,False,Periodiseringsfonder
a2130,2130,Periodiseringsfond 2020 – nr 2,equity,False,Periodiseringsfond 2020 – nr 2
a2131,2131,Periodiseringsfond 2021 – nr 2,equity,False,Periodiseringsfond 2021 – nr 2
a2132,2132,Periodiseringsfond 2022 – nr 2,equity,False,Periodiseringsfond 2022 – nr 2
a2133,2133,Periodiseringsfond 2023 – nr 2,equity,False,Periodiseringsfond 2023 – nr 2
a2134,2134,Periodiseringsfond 2024 – nr 2,equity,False,Periodiseringsfond 2024 – nr 2
a2135,2135,Periodiseringsfond 2015 – nr 2,equity,False,Periodiseringsfond 2015 – nr 2
a2136,2136,Periodiseringsfond 2016 – nr 2,equity,False,Periodiseringsfond 2016 – nr 2
a2137,2137,Periodiseringsfond 2017 – nr 2,equity,False,Periodiseringsfond 2017 – nr 2
a2138,2138,Periodiseringsfond 2018 – nr 2,equity,False,Periodiseringsfond 2018 – nr 2
a2139,2139,Periodiseringsfond 2019 – nr 2,equity,False,Periodiseringsfond 2019 – nr 2
a2150,2150,Ackumulerade överavskrivningar,liability_non_current,False,Ackumulerade överavskrivningar
a2151,2151,Ackumulerade överavskrivningar på immateriella anläggningstillgångar,liability_non_current,False,Ackumulerade överavskrivningar på immateriella anläggningstillgångar
a2152,2152,Ackumulerade överavskrivningar på byggnader och markanläggningar,liability_non_current,False,Ackumulerade överavskrivningar på byggnader och markanläggningar
a2153,2153,Ackumulerade överavskrivningar på maskiner och inventarier,liability_non_current,False,Ackumulerade överavskrivningar på maskiner och inventarier
a2160,2160,Ersättningsfond,equity,False,Ersättningsfond
a2161,2161,Ersättningsfond maskiner och inventarier,equity,False,Ersättningsfond maskiner och inventarier
a2162,2162,Ersättningsfond byggnader och markanläggningar,equity,False,Ersättningsfond byggnader och markanläggningar
a2164,2164,Ersättningsfond för djurlager i jordbruk och renskötsel,equity,False,Ersättningsfond för djurlager i jordbruk och renskötsel
a2190,2190,Övriga obeskattade reserver,equity,False,Övriga obeskattade reserver
a2196,2196,Lagerreserv,equity,False,Lagerreserv
a2199,2199,Övriga obeskattade reserver,equity,False,Övriga obeskattade reserver
a2210,2210,Avsättningar för pensioner enligt tryggandelagen,liability_non_current,False,Avsättningar för pensioner enligt tryggandelagen
a2220,2220,Avsättningar för garantier,liability_non_current,False,Avsättningar för garantier
a2230,2230,Övriga avsättningar för pensioner och liknande förpliktelser,liability_non_current,False,Övriga avsättningar för pensioner och liknande förpliktelser
a2240,2240,Avsättningar för uppskjutna skatter,liability_non_current,False,Avsättningar för uppskjutna skatter
a2250,2250,Övriga avsättningar för skatter,liability_non_current,False,Övriga avsättningar för skatter
a2252,2252,Avsättningar för tvistiga skatter,liability_non_current,False,Avsättningar för tvistiga skatter
a2253,2253,"Avsättningar särskild löneskatt, deklarationspost",liability_non_current,False,"Avsättningar särskild löneskatt, deklarationspost"
a2290,2290,Övriga avsättningar,liability_non_current,False,Övriga avsättningar
a2310,2310,Obligations- och förlagslån,asset_non_current,False,Obligations- och förlagslån
a2320,2320,Konvertibla lån och liknande,asset_non_current,False,Konvertibla lån och liknande
a2321,2321,Konvertibla lån,asset_non_current,False,Konvertibla lån
a2322,2322,Lån förenade med optionsrätt,asset_non_current,False,Lån förenade med optionsrätt
a2323,2323,Vinstandelslån,asset_non_current,False,Vinstandelslån
a2324,2324,Kapitalandelslån,asset_non_current,False,Kapitalandelslån
a2330,2330,Checkräkningskredit,liability_payable,True,Checkräkningskredit
a2331,2331,Checkräkningskredit 1,liability_payable,True,Checkräkningskredit 1
a2332,2332,Checkräkningskredit 2,liability_payable,True,Checkräkningskredit 2
a2331,2331,Utnyttjad checkräkningskredit 1,liability_payable,True,Utnyttjad checkräkningskredit 1
a2332,2332,Utnyttjad checkräkningskredit 2,liability_payable,True,Utnyttjad checkräkningskredit 2
a2335,2335,Beviljad checkräkningskredit 1,liability_payable,True,Beviljad checkräkningskredit 1
a2336,2336,Beviljad checkräkningskredit 2,liability_payable,True,Beviljad checkräkningskredit 2
a2340,2340,Byggnadskreditiv,liability_non_current,False,Byggnadskreditiv
a2350,2350,Andra långfristiga skulder till kreditinstitut,liability_non_current,False,Andra långfristiga skulder till kreditinstitut
a2351,2351,"Fastighetslån, långfristig del",liability_non_current,False,"Fastighetslån, långfristig del"
a2355,2355,Långfristiga lån i utländsk valuta från kreditinstitut,liability_non_current,False,Långfristiga lån i utländsk valuta från kreditinstitut
a2359,2359,Övriga långfristiga lån från kreditinstitut,liability_non_current,False,Övriga långfristiga lån från kreditinstitut
a2360,2360,Långfristiga skulder till koncernföretag,liability_non_current,False,Långfristiga skulder till koncernföretag
a2361,2361,Långfristiga skulder till moderföretag,liability_non_current,False,Långfristiga skulder till moderföretag
a2362,2362,Långfristiga skulder till dotterföretag,liability_non_current,False,Långfristiga skulder till dotterföretag
a2363,2363,Långfristiga skulder till andra koncernföretag,liability_non_current,False,Långfristiga skulder till andra koncernföretag
a2370,2370,"Långfristiga skulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",liability_non_current,False,"Långfristiga skulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
a2371,2371,Långfristiga skulder till intresseföretag,liability_non_current,False,Långfristiga skulder till intresseföretag
a2372,2372,Långfristiga skulder till gemensamt styrda företag,liability_non_current,False,Långfristiga skulder till gemensamt styrda företag
a2373,2373,Långfristiga skulder till övriga företag som det finns ett ägarintresse i,liability_non_current,False,Långfristiga skulder till övriga företag som det finns ett ägarintresse i
a2390,2390,Övriga långfristiga skulder,liability_non_current,False,Övriga långfristiga skulder
